,model_id,model_name,model_type,training_date,training_duration,epochs,learning_rate,accuracy,loss,accuracy_list,loss_list
0,1,pima2,binary classification,2024-01-16 20:08:30.594091,1,15,0.0010000000474974513,0.63671875,0.6915662884712219,"[Decimal('0.609375'), Decimal('0.6419270634651184'), Decimal('0.6263020634651184'), Decimal('0.6380208134651184'), Decimal('0.63671875'), Decimal('0.6302083134651184'), Decimal('0.6276041865348816'), Decimal('0.62890625'), Decimal('0.6236979365348816'), Decimal('0.6484375'), Decimal('0.6341145634651184'), Decimal('0.6380208134651184'), Decimal('0.6471354365348816'), Decimal('0.63671875'), Decimal('0.63671875')]","[Decimal('3.1316258907318115'), Decimal('1.5223983526229858'), Decimal('1.360374927520752'), Decimal('1.1782442331314087'), Decimal('1.0639458894729614'), Decimal('0.9524924755096436'), Decimal('0.9352309107780457'), Decimal('0.8546392321586609'), Decimal('0.8285403251647949'), Decimal('0.7606378197669983'), Decimal('0.7469568848609924'), Decimal('0.7338476777076721'), Decimal('0.7243058085441589'), Decimal('0.7076830863952637'), Decimal('0.6915662884712219')]"
1,2,Horses or Humans without Gradient Centralization,RMSprop,2024-01-16 20:14:00.216015,74,5,9.999999747378752e-05,0.6757546067237854,0.6363474726676941,"[Decimal('0.4907497465610504'), Decimal('0.6007789969444275'), Decimal('0.6085686683654785'), Decimal('0.6514118909835815'), Decimal('0.6757546067237854')]","[Decimal('0.7037618160247803'), Decimal('0.678382158279419'), Decimal('0.6662510633468628'), Decimal('0.6623060703277588'), Decimal('0.6363474726676941')]"
2,2,Horses or Humans without Gradient Centralization,RMSprop,2024-01-16 20:16:19.954589,140,10,9.999999747378752e-05,0.797468364238739,0.45888379216194153,"[Decimal('0.6699123382568359'), Decimal('0.6942551136016846'), Decimal('0.7361246347427368'), Decimal('0.7867575287818909'), Decimal('0.7575462460517883'), Decimal('0.754625141620636'), Decimal('0.7838364243507385'), Decimal('0.7945472002029419'), Decimal('0.8130477070808411'), Decimal('0.797468364238739')]","[Decimal('0.6134724617004395'), Decimal('0.6037546992301941'), Decimal('0.581596314907074'), Decimal('0.5336490273475647'), Decimal('0.5415405631065369'), Decimal('0.5722752809524536'), Decimal('0.4783867299556732'), Decimal('0.46786317229270935'), Decimal('0.443941205739975'), Decimal('0.45888379216194153')]"
3,2,Horses or Humans without Gradient Centralization,RMSprop,2024-01-16 20:19:58.913589,219,15,9.999999747378752e-05,0.8412852883338928,0.34199759364128113,"[Decimal('0.8227847814559937'), Decimal('0.8383641839027405'), Decimal('0.7731255888938904'), Decimal('0.7964946627616882'), Decimal('0.8266796469688416'), Decimal('0.8305745124816895'), Decimal('0.8227847814559937'), Decimal('0.8500486612319946'), Decimal('0.8354430198669434'), Decimal('0.8286270499229431'), Decimal('0.8490749597549438'), Decimal('0.8471275568008423'), Decimal('0.8588120937347412'), Decimal('0.8578383922576904'), Decimal('0.8412852883338928')]","[Decimal('0.42140263319015503'), Decimal('0.3937218487262726'), Decimal('0.47569796442985535'), Decimal('0.4399557411670685'), Decimal('0.39189496636390686'), Decimal('0.39573678374290466'), Decimal('0.39837050437927246'), Decimal('0.3650548756122589'), Decimal('0.3729286193847656'), Decimal('0.38164082169532776'), Decimal('0.3471863567829132'), Decimal('0.34368500113487244'), Decimal('0.33918970823287964'), Decimal('0.3295280635356903'), Decimal('0.34199759364128113')]"
4,5,Horses or Humans with Gradient Centralization,Gradient Centralization,2024-01-16 20:21:10.413434,71,5,9.999999747378752e-05,0.8656280636787415,0.31729182600975037,"[Decimal('0.8373904824256897'), Decimal('0.8607594966888428'), Decimal('0.8724440336227417'), Decimal('0.8578383922576904'), Decimal('0.8656280636787415')]","[Decimal('0.38481688499450684'), Decimal('0.3345130980014801'), Decimal('0.3113083839416504'), Decimal('0.34235912561416626'), Decimal('0.31729182600975037')]"
5,5,Horses or Humans with Gradient Centralization,Gradient Centralization,2024-01-16 20:23:35.930185,146,10,9.999999747378752e-05,0.8919181823730469,0.25891366600990295,"[Decimal('0.8695228695869446'), Decimal('0.8714702725410461'), Decimal('0.875365138053894'), Decimal('0.8685491681098938'), Decimal('0.8695228695869446'), Decimal('0.8773125410079956'), Decimal('0.8909444808959961'), Decimal('0.8792600035667419'), Decimal('0.8792600035667419'), Decimal('0.8919181823730469')]","[Decimal('0.3179689347743988'), Decimal('0.30226191878318787'), Decimal('0.3185836672782898'), Decimal('0.29227566719055176'), Decimal('0.3163154423236847'), Decimal('0.28387653827667236'), Decimal('0.2927783727645874'), Decimal('0.29465043544769287'), Decimal('0.29045340418815613'), Decimal('0.25891366600990295')]"
6,5,Horses or Humans with Gradient Centralization,Gradient Centralization,2024-01-16 20:27:07.880391,212,15,9.999999747378752e-05,0.8987341523170471,0.24048367142677307,"[Decimal('0.8763388395309448'), Decimal('0.887049674987793'), Decimal('0.8889970779418945'), Decimal('0.8646543622016907'), Decimal('0.8938656449317932'), Decimal('0.8782862424850464'), Decimal('0.8821811079978943'), Decimal('0.8889970779418945'), Decimal('0.8967867493629456'), Decimal('0.8928919434547424'), Decimal('0.8977604508399963'), Decimal('0.8909444808959961'), Decimal('0.8967867493629456'), Decimal('0.9113923907279968'), Decimal('0.8987341523170471')]","[Decimal('0.36361971497535706'), Decimal('0.2557086646556854'), Decimal('0.28374597430229187'), Decimal('0.32830873131752014'), Decimal('0.26187124848365784'), Decimal('0.27511975169181824'), Decimal('0.27155354619026184'), Decimal('0.2671421766281128'), Decimal('0.249689981341362'), Decimal('0.28680816292762756'), Decimal('0.2474576234817505'), Decimal('0.25773707032203674'), Decimal('0.2654287815093994'), Decimal('0.21826589107513428'), Decimal('0.24048367142677307')]"
7,8,Simple MNIST Convnet,Categorical Crossentropy,2024-01-16 20:28:09.103086,61,10,0.0010000000474974513,0.9877407550811768,0.04092733561992645,"[Decimal('0.89083331823349'), Decimal('0.9669629335403442'), Decimal('0.9753703474998474'), Decimal('0.9787963032722473'), Decimal('0.9806110858917236'), Decimal('0.9831110835075378'), Decimal('0.9841481447219849'), Decimal('0.9860000014305115'), Decimal('0.9858148097991943'), Decimal('0.9877407550811768')]","[Decimal('0.3624294698238373'), Decimal('0.10832402110099792'), Decimal('0.08127567172050476'), Decimal('0.0685165598988533'), Decimal('0.05997975543141365'), Decimal('0.055214833468198776'), Decimal('0.05071846395730972'), Decimal('0.04544566199183464'), Decimal('0.04322759062051773'), Decimal('0.04092733561992645')]"
8,8,Simple MNIST Convnet,Categorical Crossentropy,2024-01-16 20:29:37.282792,88,15,0.0010000000474974513,0.9921851754188538,0.023093141615390778,"[Decimal('0.9872592687606812'), Decimal('0.9876481294631958'), Decimal('0.9884999990463257'), Decimal('0.9896110892295837'), Decimal('0.989203691482544'), Decimal('0.9897592663764954'), Decimal('0.99014812707901'), Decimal('0.9903333187103271'), Decimal('0.9906111359596252'), Decimal('0.9909074306488037'), Decimal('0.991018533706665'), Decimal('0.9913148283958435'), Decimal('0.9921851754188538'), Decimal('0.9918888807296753'), Decimal('0.9921851754188538')]","[Decimal('0.039030641317367554'), Decimal('0.0376046784222126'), Decimal('0.03515218198299408'), Decimal('0.032510753720998764'), Decimal('0.03247888758778572'), Decimal('0.031573813408613205'), Decimal('0.02997145801782608'), Decimal('0.029137857258319855'), Decimal('0.027985822409391403'), Decimal('0.027057547122240067'), Decimal('0.026739349588751793'), Decimal('0.025461088865995407'), Decimal('0.02456357143819332'), Decimal('0.024570027366280556'), Decimal('0.023093141615390778')]"
9,8,Simple MNIST Convnet,Categorical Crossentropy,2024-01-16 20:31:40.315402,123,20,0.0010000000474974513,0.9942777752876282,0.01690238155424595,"[Decimal('0.9921481609344482'), Decimal('0.992388904094696'), Decimal('0.9927036762237549'), Decimal('0.9933518767356873'), Decimal('0.9928518533706665'), Decimal('0.9936481714248657'), Decimal('0.9933333396911621'), Decimal('0.993148148059845'), Decimal('0.9935740828514099'), Decimal('0.9935555458068848'), Decimal('0.9937777519226074'), Decimal('0.9937777519226074'), Decimal('0.9937777519226074'), Decimal('0.9940370321273804'), Decimal('0.994259238243103'), Decimal('0.9944815039634705'), Decimal('0.9941666722297668'), Decimal('0.9944444298744202'), Decimal('0.9942777752876282'), Decimal('0.9942777752876282')]","[Decimal('0.022644245997071266'), Decimal('0.02256791479885578'), Decimal('0.022980639711022377'), Decimal('0.02082316018640995'), Decimal('0.020725643262267113'), Decimal('0.019427446648478508'), Decimal('0.019136669114232063'), Decimal('0.019449269399046898'), Decimal('0.018556853756308556'), Decimal('0.018993457779288292'), Decimal('0.018545789644122124'), Decimal('0.017683453857898712'), Decimal('0.018463805317878723'), Decimal('0.01827225834131241'), Decimal('0.017707282677292824'), Decimal('0.016775760799646378'), Decimal('0.016395151615142822'), Decimal('0.01651272177696228'), Decimal('0.016629358753561974'), Decimal('0.01690238155424595')]"
